,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
count,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,Catchment
mean,0.020111111111111118,0.024888888888888894,0.029777777777777778,0.036111111111111115,0.043888888888888894,0.053388888888888895,0.07605555555555554,0.09438888888888888,0.14216666666666666,0.5405555555555556,0.5499999999999999,0.5594444444444444,0.5725000000000001,0.5874444444444444,0.6067777777777779,0.6522222222222223,0.6887222222222221,0.7842777777777777,0.09233333333333332,0.10755555555555556,0.12200000000000001,0.14033333333333334,0.16049999999999998,0.18455555555555556,0.2355,0.272,0.3553333333333334,0.0045000000000000005,0.005944444444444444,0.007222222222222223,0.009333333333333336,0.010944444444444446,0.012722222222222222,0.014888888888888889,0.01705555555555556,0.020222222222222225,Catchment
std,0.019078441448519196,0.02291901057532009,0.026770386526369802,0.031883775864829635,0.037414827021459714,0.04464387038999523,0.06033189793547632,0.07243832174696167,0.10222596078699153,0.03833938571145898,0.046202877425036426,0.053681218341375014,0.06368696422161059,0.0751196866358043,0.08907601219022106,0.12064559452016549,0.14491774768733898,0.2043499897251125,0.0688784094917823,0.07972100042333094,0.08990125301750608,0.10292487265848187,0.11682679487172452,0.13337131811874706,0.1677088688945291,0.19178112524437851,0.2455466889831509,0.003294380241634318,0.004671216269657026,0.005745131499601416,0.008051306068692502,0.009433807928198656,0.011323092258771613,0.013185950138149001,0.015318087049291542,0.018389752758967363,Catchment
min,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.006999999999999999,0.501,0.502,0.502,0.503,0.503,0.504,0.506,0.508,0.514,0.006,0.006999999999999999,0.008,0.009000000000000001,0.011000000000000001,0.013000000000000001,0.018000000000000002,0.022000000000000002,0.032,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Catchment
1%,0.00134,0.00151,0.00168,0.00185,0.00302,0.00319,0.0047,0.00604,0.00989,0.50185,0.50302,0.50336,0.5045299999999999,0.5050399999999999,0.5063799999999999,0.5094,0.51208,0.51978,0.009739999999999999,0.01125,0.01293,0.014780000000000001,0.017460000000000003,0.02048,0.027520000000000003,0.03305,0.04662,0.00034,0.00034,0.00134,0.00134,0.00151,0.00151,0.00168,0.00168,0.00185,Catchment
5%,0.0027,0.00355,0.0044,0.00525,0.0071,0.00795,0.011500000000000002,0.0142,0.02145,0.50525,0.5071,0.5088,0.51065,0.5132000000000001,0.5159,0.523,0.5284,0.5428999999999999,0.0247,0.02825,0.032650000000000005,0.037899999999999996,0.043300000000000005,0.05040000000000001,0.0656,0.07725,0.10510000000000001,0.0017000000000000001,0.0017000000000000001,0.0027,0.0027,0.00355,0.00355,0.0044,0.0044,0.00525,Catchment
25%,0.006,0.007500000000000001,0.009,0.011250000000000001,0.014,0.017499999999999998,0.0265,0.03375,0.05425000000000001,0.51225,0.515,0.5185,0.52325,0.5285,0.536,0.5534999999999999,0.5685,0.609,0.03874999999999999,0.04675,0.05475000000000001,0.06475,0.0765,0.09025,0.11900000000000001,0.14075000000000001,0.191,0.002,0.003,0.0032500000000000003,0.00425,0.00425,0.0052499999999999995,0.00625,0.006500000000000001,0.00775,Catchment
50%,0.0125,0.016,0.019500000000000003,0.0245,0.030500000000000003,0.038,0.057,0.07350000000000001,0.1175,0.5255000000000001,0.532,0.5389999999999999,0.549,0.5605,0.5760000000000001,0.614,0.646,0.736,0.07050000000000001,0.082,0.093,0.10650000000000001,0.1225,0.141,0.18,0.209,0.2765,0.004,0.005,0.0055,0.0075,0.0085,0.010000000000000002,0.011,0.013,0.015,Catchment
75%,0.027999999999999997,0.035750000000000004,0.04275,0.053250000000000006,0.065,0.0805,0.112,0.13675,0.20124999999999998,0.55625,0.57075,0.586,0.6065,0.63,0.6609999999999999,0.7242500000000001,0.77425,0.90325,0.14625,0.16949999999999998,0.19100000000000003,0.21825,0.24675000000000002,0.281,0.351,0.39925,0.50325,0.006,0.008,0.00975,0.012750000000000001,0.015,0.017,0.02075,0.023500000000000004,0.028249999999999997,Catchment
95%,0.0576,0.0696,0.0816,0.09759999999999999,0.11560000000000001,0.13845000000000002,0.18914999999999996,0.228,0.32145,0.6153500000000001,0.6402,0.66335,0.6952000000000002,0.7319,0.7767499999999999,0.8783000000000001,0.956,1.1427500000000002,0.1928999999999999,0.2245499999999999,0.25419999999999987,0.29229999999999984,0.33354999999999985,0.38254999999999983,0.4859999999999997,0.5597999999999997,0.7259499999999997,0.008199999999999989,0.011649999999999985,0.014949999999999984,0.019849999999999975,0.02329999999999997,0.027899999999999966,0.03249999999999995,0.03809999999999995,0.045999999999999944,Catchment
99%,0.06032,0.07232,0.08432,0.10031999999999999,0.11832,0.14048999999999998,0.18983,0.22800000000000004,0.32349,0.62147,0.64564,0.66947,0.70064,0.73598,0.7801499999999999,0.87966,0.956,1.14615,0.23777999999999988,0.2769099999999999,0.3140399999999998,0.3616599999999998,0.4131099999999998,0.47570999999999974,0.6083999999999997,0.7039599999999997,0.9251899999999995,0.013639999999999985,0.019129999999999984,0.023789999999999978,0.03276999999999997,0.03825999999999997,0.04557999999999996,0.05289999999999995,0.06121999999999995,0.07319999999999993,Catchment
max,0.061,0.073,0.085,0.10099999999999999,0.11900000000000001,0.141,0.19,0.228,0.324,0.623,0.647,0.6709999999999999,0.7020000000000001,0.737,0.7809999999999999,0.88,0.956,1.147,0.249,0.29,0.32899999999999996,0.379,0.433,0.499,0.639,0.74,0.975,0.015,0.021,0.026000000000000002,0.036000000000000004,0.042,0.05,0.057999999999999996,0.067,0.08,Catchment
